hr,alt_name,ra_ysb,dec_ysb,vmag,bv_color,parallax_ysb,ra_simbad,dec_simbad,parallax_simbad,iau_name,origin,note,source,constellation_common_name,constellation_alt_name,asterism
HR2863,,111.9967,-29.1558,5.54,-0.08,,111.99649950784,-28.844101289780003,4.4194,,,,,,,
HR2864,6    CMi,112.4492,12.0067,4.54,1.28,0.029,112.44909052166666,12.00656520361111,5.7,,,,,Canis Minor,CMi,
HR2865,,112.3279,-1.9053,5.59,1.5,,112.32778360260001,-0.09467458806999998,3.99,,,,,,,
HR2866,,112.3571,-7.5511,5.86,0.48,,112.35692077661459,-6.448763870556667,33.6335,,,,,,,
HR2867,,112.3421,-10.3267,5.75,1.62,,112.3421147007,-9.67333327007,2.6344,,,,,,,
HR2868,,112.3412,-14.9992,6.05,0.47,0.027,112.34109754166666,-13.001344166666668,28.5,,,,,,,
HR2869,,112.095,-37.8103,6.58,0.06,,112.09575130856,-36.18987112381,8.0252,,,,,,,
HR287,,15.5767,51.035,6.47,,,15.57695714836,51.03494746123,4.6611,,,,,,,
HR2870,,112.2138,-31.8483,6.38,-0.17,,112.21313846016957,-30.151604083208056,2.8052,,,,,,,
HR2871,,112.2146,-31.8469,7.13,-0.15,,112.21549050703001,-30.1530771269,2.7278,,,,,,,
HR2872,,112.9821,38.8964,6.54,0.07,,112.98180737708,38.896066045059996,11.28,,,,,,,
HR2873,,112.2704,-31.4564,5.77,-0.19,,112.27047814001,-30.54378207836,2.9027,,,,,,,
HR2874,,112.4642,-23.0244,4.85,0.23,-0.003,112.46421790955,-22.97570979403,0.7535,,,,,,,
HR2875,,112.2738,-38.8122,5.43,-0.16,,112.27372998042,-37.18793267801,5.0843,,,,,,,
HR2876,,112.7129,-5.2264,6.24,1.18,,112.71305850737,-4.77350663715,1.7628,,,,,,,
HR2877,,112.9517,17.0861,5.42,1.13,0.001,112.95168546233,17.08604575659,11.3298,,,,,,,
HR2878,Sig Pup,112.3075,-43.3014,3.25,1.51,0.02,112.30763598742709,-42.69856460586139,17.0234,,,,,Puppis,Pup,
HR2879,,113.2108,22.8878,6.54,1.01,,113.21095504791,22.88760005848,5.1158,,,,,,,
HR288,Xi  Scl,15.3263,-38.9167,5.59,1.18,0.034,15.32614751552,-37.0834715783,6.2059,,,,,Sculptor,Scl,
HR2880,7Del1CMi,113.0246,1.9144,5.25,0.22,0.016,113.02478678058999,1.91447967575,3.9896,,,,,Canis Minor,CMi,
HR2881,,112.6771,-30.9622,4.65,0.93,0.023,112.67750823300001,-29.037719464440002,2.3999,,,,,,,
HR2882,,112.6767,-37.3397,6.65,0.63,,112.67713232567,-36.66063695592,45.9738,,,,,,,
HR2883,,113.0242,-8.8808,5.9,0.54,,113.02401215188,-7.11867354138,34.8832,,,,,,,
HR2884,,112.4983,-52.6511,5.87,1.01,,112.49884418116,-51.34884318148,9.236,,,,,,,
HR2885,,112.8575,-36.1528,6.68,-0.12,,112.85736343108,-35.846741620450004,3.5979,,,,,,,
HR2886,68    Gem,113.4021,15.8267,5.25,0.05,0.011,113.40200657958333,15.826660811944445,7.7,,,,,Gemini,Gem,
HR2887,8Del2CMi,113.2983,3.2903,5.59,0.31,,113.29860726374,3.29037918403,23.1488,,,,,Canis Minor,CMi,
HR2888,,112.2138,-64.51,6.39,1.56,,112.21419917409,-63.49019426352,4.419,,,,,,,
HR2889,,112.9283,-35.8878,6.61,-0.08,,112.92792483499001,-34.11218012086,4.447,,,,,,,
HR289,,15.7563,47.3761,6.45,0.25,0.012,15.756446208333335,47.376159,10.41,,,,,,,
HR2890,66Alp Gem,113.65,31.8886,2.88,0.04,0.067,113.65041855,31.888491991666665,0.0,,,,,,,
HR2891,66Alp Gem,113.65,31.8883,1.98,0.03,0.067,113.64942845,31.888276191666666,0.0,Castor,,,,,,
HR2892,,112.6288,-54.3994,5.96,1.56,,112.62882771742001,-53.60063511907,6.5671,,,,,,,
HR2893,,113.5212,10.5683,6.28,-0.01,,113.52068166094,10.56807518622,8.6783,,,,,,,
HR2894,,114.1958,55.7553,5.92,1.12,,114.19597942002,55.75506254973,11.7198,,,,,,,
HR2895,,113.0929,-35.9614,6.3,-0.1,,113.09279893708333,-34.03881181611111,5.09,,,,,,,
HR2896,,113.7862,30.9611,5.33,1.01,0.003,113.78668011765,30.96091795651,7.912,,,,,,,
HR2897,,113.3421,-14.3383,6.21,-0.04,,113.34243899248,-13.66169387695,0.8764,,,,,,,
HR2898,,113.9833,43.0311,6.3,,0.005,113.98322541666666,43.03095836111111,7.11,,,,,,,
HR2899,,113.3313,-19.4125,5.66,1.12,,113.33151923514,-18.587474335720003,10.9801,,,,,,,
HR29,,2.5783,-5.2486,5.84,0.98,,2.57863002832,-4.75141195365,17.0711,,,,,,,
HR290,39    And,15.7262,41.345,5.98,0.16,,15.72606127598,41.34521355015,9.5651,,,,,Andromeda,And,
HR2900,,113.2904,-24.7108,5.85,0.17,,113.29073298016,-23.289265748000002,10.6424,,,,,,,
HR2901,9Del3CMi,113.5658,3.3714,5.81,-0.02,,113.56621917976,3.3717243208,4.603,,,,,Canis Minor,CMi,
HR2902,,113.4496,-14.5239,4.97,1.41,-0.003,113.44986160177,-13.476096012149998,1.3538,,,,,,,
HR2903,,114.1317,46.1803,5.65,1.56,,114.13181033222,46.180286627179996,5.5345,,,,,,,
HR2904,,113.6917,2.725,6.55,0.22,,113.69254134219,2.7254935710000003,6.4089,,,,,,,
HR2905,69Ups Gem,113.9804,26.8958,4.06,1.54,0.014,113.98062505905,26.8957444986,12.8761,,,,,Gemini,Gem,
HR2906,,113.5133,-22.2961,4.45,0.51,0.054,113.51325234957,-21.7039324521,38.1379,,,,,,,
HR2907,,113.3063,-40.0589,6.26,-0.12,,113.30482671202999,-39.941478438530005,4.41,,,,,,,
HR2908,,113.3054,-43.0864,6.52,0.92,,113.30551912508999,-42.91380110823,6.6985,,,,,,,
HR2909,,113.5775,-23.4736,5.83,0.44,0.023,113.57757357237,-22.526335343640003,32.7467,,,,,,,
HR291,69Sig Psc,15.7046,31.8044,5.5,-0.05,,15.70456995008,31.804261676310002,8.4535,,,,,Pisces,Psc,
HR2910,,113.5796,-23.4747,5.87,,0.023,113.58023805231998,-22.52510265143,32.7919,,,,,,,
HR2911,,113.4625,-36.3383,5.54,-0.06,,113.46267307912998,-35.661607573219996,2.5769,,,,,,,
HR2912,,113.62,-26.1167,6.65,-0.01,,113.62017249347,-25.88314657431,9.1364,,,,,,,
HR2913,,113.5533,-33.4633,6.11,0.29,,113.55344211508,-32.536570744769996,12.1257,,,,,,,
HR2914,,114.4746,48.7736,5.92,0.22,,114.47436990781,48.77384326465,12.33,,,,,,,
HR2915,,114.3242,40.0253,6.38,,,114.32413088697001,40.02537431577,3.9783,,,,,,,
HR2916,,113.6454,-27.0119,5.77,1.06,,113.64497812369,-26.98772483224,9.8405,,,,,,,
HR2917,,113.4938,-39.9058,6.76,1.13,,113.49284278004,-38.0942321617,5.7724,,,,,,,
HR2918,,114.1446,5.8617,5.91,0.6,,114.14460762757,5.862171936529999,24.0803,,,,,,,
HR2919,Eps Men,111.4083,-79.0942,5.53,1.28,-0.002,111.40874478516,-78.90580894119,7.1874,,,,,Mensa,Men,
HR292,,15.9042,61.075,5.92,0.49,,15.9041808163,61.07482260028,1.2096,,,,,,,
HR2920,,114.0692,-8.3114,6.27,1.54,,114.06956794194,-7.6886983098,4.2196,,,,,,,
HR2921,,114.0163,-14.4928,5.7,-0.12,,114.01622127805999,-13.507228084620001,2.0401,,,,,,,
HR2922,,113.845,-28.3694,4.64,-0.11,,113.84538175052,-27.63066521362,13.6185,,,,,,,
HR2923,,114.0325,-22.1606,6.34,0.99,,114.03088288744999,-21.83949565312,4.8071,,,,,,,
HR2924,70    Gem,114.6367,35.0486,5.56,0.93,,114.63693298528999,35.0485498459,9.9583,,,,,Gemini,Gem,
HR2925,,113.6646,-51.4747,6.28,0.08,,113.66491500419,-50.52548312082,2.4551,,,,,,,
HR2926,,114.5604,24.3603,6.27,,,114.55987216844,24.36044326664,21.2706,,,,,,,
HR2927,25    Mon,114.3196,-4.1111,5.13,0.44,0.028,114.31954594257002,-3.88901836872,15.7974,,,,,Monoceros,Mon,
HR2928,,114.1708,-19.7022,5.74,-0.19,,114.17098015983,-18.29765971662,1.5724,,,,,,,
HR2929,23    Lyn,115.2063,57.0828,6.06,1.46,,115.20645340009,57.082827853160005,4.272,,,,,Lynx,Lyn,
HR293,Sig Scl,15.61,-31.5519,5.5,0.08,,15.610129411270004,-30.4479861748,16.1863,,,,,Sculptor,Scl,
HR2930,71Omi Gem,114.7913,34.5842,4.9,0.4,0.021,114.79139442639001,34.58430633086,19.3338,Jishui,,,,Gemini,Gem,
HR2931,,114.7996,24.2225,6.17,0.01,,114.80002124599001,24.222530662209998,6.9694,,,,,,,
HR2932,,114.4121,-14.4411,6.53,-0.01,,114.41167042665,-13.559237454329999,2.1469,,,,,,,
HR2933,,114.32,-23.775,6.37,0.54,,114.32054374907001,-22.22460224022,0.5937,,,,,,,
HR2934,,113.9154,-52.5339,4.94,1.4,0.012,113.91550959642,-51.46616413431,7.8078,,,,,,,
HR2935,,115.0608,38.3444,5.73,1.63,,115.06122118372001,38.344540873110006,3.24,,,,,,,
HR2936,,114.9754,32.0097,6.17,0.35,,114.97539538080001,32.00973171017,9.2845,,,,,,,
HR2937,,114.3421,-34.9686,4.53,-0.09,,114.34212408333335,-33.03146919444444,9.05,,,,,,,
HR2938,74    Gem,114.8692,17.6747,5.05,1.56,0.009,114.86913903345001,17.674521837940002,5.1083,,,,,Gemini,Gem,
HR2939,,115.3017,48.1317,5.56,1.01,0.009,115.30166204685,48.13153269845,9.4468,,,,,,,
HR294,71Eps Psc,15.7358,7.89,4.28,0.96,0.027,15.735868263886667,7.89013318100861,17.8074,,,,,Pisces,Psc,
HR2940,,114.1829,-48.8303,5.72,-0.06,,114.18300032364999,-47.16983397907,6.971,,,,,,,
HR2941,,114.0071,-55.8875,6.39,1.18,,114.00668520561,-54.11229153857,4.959,,,,,,,
HR2942,,114.4367,-35.2772,6.6,1.14,,114.43665172329,-34.72284650516,4.0112,,,,,,,
HR2943,10Alp CMi,114.8254,5.225,0.38,0.42,0.288,114.82549791666668,5.224987555555556,284.56,Procyon,,,,Canis Minor,CMi,
HR2944,,114.575,-25.3647,4.7,-0.11,,114.57519106767832,-24.635194229656943,4.8542,,,,,,,
HR2945,,114.4383,-38.0106,6.38,1.48,,114.43758866337001,-37.98957469098,5.2931,,,,,,,
HR2946,24    Lyn,115.7517,58.7103,4.99,0.08,0.018,115.75173258573334,58.71035918406,12.6967,,,,,Lynx,Lyn,
HR2947,,114.7796,-18.6792,6.72,-0.1,,114.77956746138,-17.32160958014,4.0247,,,,,,,
HR2948,,114.7054,-26.8017,4.5,-0.17,0.01,114.70572976186,-25.19824318384,9.0301,,,,,,,
HR2949,,114.7075,-26.8036,4.62,,0.01,114.70779472192,-25.19615283679,8.3058,,,,,,,
HR295,Ome Phe,15.5075,-57.0025,6.11,0.94,,15.507585083390001,-56.9976126442,8.0061,,,,,Phoenix,Phe,
HR2950,,115.0292,5.2308,6.02,-0.04,0.014,115.0291268,5.2311748,12.6,,,,,,,
HR2951,,115.2438,23.0186,5.89,1.58,,115.24382743493001,23.01852863277,2.8134,,,,,,,
HR2952,,114.6008,-39.9914,6.59,-0.05,,114.60006395776999,-38.00804686496,4.8209,,,,,,,
HR2953,,115.1971,13.7708,6.24,,,115.19660126271,13.771252715840001,3.5733,,,,,,,
HR2954,,114.6829,-36.4969,5.8,-0.16,,114.68291098197,-35.50316717569,2.789,,,,,,,
HR2955,,114.6358,-38.7811,6.19,1.02,,114.63557732669999,-37.21851136173,7.863,,,,,,,
HR2956,,114.8621,-26.8631,6.5,-0.1,,114.8624197197,-25.13688749084,3.5707,,,,,,,
HR2957,,114.5758,-48.6011,5.68,0.65,,114.57586847574,-47.39856540062,1.2142,,,,,,,
HR2958,,115.1479,-8.1858,6.01,0.15,,115.14801453105001,-7.81457014071,11.3884,,,,,,,
HR2959,,115.0967,-15.2636,4.94,1.56,0.005,115.09671017844,-14.73608035821,4.6915,,,,,,,
HR296,25    Cet,15.7608,-4.8367,5.43,1.11,,15.76057062535,-3.16340078096,9.5083,,,,,Cetus,Cet,
HR2960,,115.0567,-19.6608,5.93,1.16,,115.05636920919001,-18.33913988584,4.6036,,,,,,,
HR2961,,114.8642,-38.3083,4.84,-0.19,,114.86391100082001,-37.69197654703806,5.1576,,,,,,,
HR2962,,115.6813,34.0003,6.02,,,115.68145747184,34.00022073542,15.4317,,,,,,,
HR2963,,114.9325,-38.1394,5.73,-0.12,0.006,114.93256487363,-37.8607018978,4.8969,,,,,,,
HR2964,,114.9492,-38.2608,5.76,-0.07,,114.94947883364001,-37.73934767165,2.3923,,,,,,,
HR2965,,115.4658,13.4806,5.77,1.67,,115.4660263063,13.48045605686,3.9204,,,,,,,
HR2966,,115.3967,3.6247,5.94,-0.04,,115.39647932105,3.62477912883,5.2103,,,,,,,
HR2967,,115.5133,14.2083,5.56,1.64,0.006,115.51340867915,14.20850619719,2.7258,,,,,,,
HR2968,,114.9917,-37.5794,6.0,-0.04,,114.99162956189001,-36.420575721889996,1.911,,,,,,,
HR2969,,116.0175,50.4339,5.27,0.0,0.015,116.01740827176,50.433793839159996,7.5728,,,,,,,
HR297,,16.0817,61.5803,5.84,0.54,,16.081046192979997,61.580183954990005,12.7218,,,,,,,
HR2970,26Alp Mon,115.3117,-9.5511,3.93,1.02,0.024,115.31179988937959,-8.448867286948888,22.3839,,,,,Monoceros,Mon,
HR2971,,114.7517,-53.2733,6.06,-0.11,,114.75132456569,-52.7266431793,5.3886,,,,,,,
HR2972,,115.1808,-27.9458,6.76,-0.16,,115.18080516294,-26.05464562421,1.9667,,,,,,,
HR2973,75Sig Gem,115.8279,28.8836,4.28,1.12,0.018,115.82803204470959,28.8835088440125,27.121,,,,,Gemini,Gem,
HR2974,,115.2196,-31.6608,6.56,1.18,,115.21915370696,-30.338834714380003,0.244,,,,,,,
HR2975,51    Cam,116.6671,65.4558,5.92,1.18,,116.66699218034,65.45567405649,9.7528,,,,,Camelopardalis,Cam,
HR2976,,115.3483,-22.3372,6.18,1.62,,115.34803415037001,-21.66328179488,3.8001,,,,,,,
HR2977,49    Cam,116.6142,62.8306,6.49,0.26,,116.61422778157001,62.83052303072,10.5523,,,,,Camelopardalis,Cam,
HR2978,,115.8425,22.3994,6.21,0.93,,115.84241220276,22.39944361483,9.7637,,,,,,,
HR2979,,113.8404,-74.2756,7.16,-0.02,0.01,113.84023222517,-73.72504588262,3.943,,,,,,,
HR298,,16.01,52.5022,5.99,1.47,,16.009960517910002,52.50216184451,5.0346,,,,,,,
HR2980,,113.8408,-74.2756,7.26,,0.01,113.84181701118,-73.72473237223,3.9907,,,,,,,
HR2981,,115.3158,-38.5336,5.42,-0.15,,115.31588573765,-37.46646687441,5.2199,,,,,,,
HR2982,,115.7725,0.1894,6.19,1.02,,115.77257554166667,0.1893328333333333,5.81,,,,,,,
HR2983,76    Gem,116.0287,25.7842,5.31,1.54,0.007,116.02881237864,25.7841601231,5.0247,,,,,Gemini,Gem,
HR2984,,115.3408,-44.6322,6.41,0.0,,115.34051545127001,-43.36783342903,2.7252,,,,,,,
HR2985,77Kap Gem,116.1117,24.3981,3.57,0.93,0.026,116.11188987166668,24.397996451944444,23.07,,,,,Gemini,Gem,
HR2986,,115.4917,-38.5289,6.54,-0.09,,115.49176302245,-37.47165835867,5.262,,,,,,,
HR2987,,116.0583,12.8594,6.43,,,116.05857547571,12.860070963,4.9762,,,,,,,
HR2988,,115.7004,-26.3511,5.64,0.99,,115.70063491152001,-25.64867349402,9.9018,,,,,,,
HR2989,,116.0308,2.405,6.47,0.2,,116.03180413714,2.40542268549,6.715,,,,,,,
HR299,,15.705,-46.3975,5.36,0.9,0.025,15.704957052740001,-45.60269073055,13.2894,,,,,,,
HR2990,78Bet Gem,116.3288,28.0261,1.14,1.0,0.094,116.32895779166667,28.02619888888889,96.54,Pollux,,,,Gemini,Gem,
HR2991,79    Gem,116.2887,20.3164,6.33,0.0,,116.28889008189999,20.31604764031,7.3665,,,,,Gemini,Gem,
HR2992,,115.9129,-25.5039,6.55,0.06,,115.91296009223,-24.49616842836,0.888,,,,,,,
HR2993,1    Pup,115.885,-28.4111,4.59,1.63,0.018,115.88494452232,-27.58911425167,4.1384,,,,,Puppis,Pup,
HR2994,,115.8,-36.0503,5.6,-0.13,,115.7999299609,-35.9499100301,5.1407,,,,,,,
HR2995,,115.7792,-38.8642,6.89,1.02,,115.77835990946001,-37.13632053878,3.1462,,,,,,,
HR2996,3    Pup,115.9521,-28.9547,3.96,0.18,,115.95195300916667,-27.04517444027778,0.59,,,,,Puppis,Pup,
HR2997,,119.0721,80.2656,6.56,0.73,,119.07178740634875,80.26554232497861,58.2919,,,,,,,
HR2998,,115.7383,-45.1733,5.06,0.78,,115.73789834720458,-44.82688458636556,42.8213,,,,,,,
HR2999,,116.6637,37.5175,5.18,1.58,,116.66366828304,37.51739522188,8.2452,,,,,,,
HR3,33    Psc,1.3338,-5.7075,4.61,1.04,0.014,1.3339215498499999,-4.2923800836608335,23.5152,,,,,Pisces,Psc,
HR30,Gam3Oct,2.5087,-82.2239,5.28,1.05,,2.5090520435899997,-81.77595291941999,12.3535,,,,,Octans,Oct,
HR300,,15.8233,-29.5258,6.29,0.93,,15.823724440920001,-28.474153510340003,7.9976,,,,,,,
HR3000,,114.0175,-77.6342,6.18,1.73,,114.0174766805,-76.36588560419,2.449,,,,,,,
HR3001,,115.9287,-38.2019,6.4,-0.16,,115.9288168332,-37.79812017048,5.4586,,,,,,,
HR3002,,115.9246,-40.9339,5.17,1.1,0.026,115.92470427614,-39.06625355033,14.7756,,,,,,,
HR3003,81    Gem,116.5308,18.51,4.88,1.45,0.014,116.53103507766001,18.5099981036,10.5086,,,,,Gemini,Gem,
HR3004,,116.1417,-24.6739,5.62,-0.19,,116.14237358081,-23.32592040864,1.6857,,,,,,,
HR3005,,115.7787,-49.9928,6.57,0.07,,115.77906090879999,-48.007006044149996,4.219,,,,,,,
HR3006,,115.5425,-58.6308,6.43,-0.1,,115.54257078014001,-57.36908061136,2.658,,,,,,,
HR3007,,116.04,-36.0628,5.8,0.31,,116.04035957876,-35.93749469579,22.7339,,,,,,,
HR3008,11    CMi,116.5675,10.7683,5.3,0.01,0.022,116.56750514760999,10.76825170496,10.8334,,,,,Canis Minor,CMi,
HR3009,2    Pup,116.3696,-14.6861,6.89,,,116.36973707178001,-13.313837133069999,11.6909,,,,,Puppis,Pup,
HR301,26    Cet,15.9542,1.3667,6.04,0.27,0.024,15.95428421498,1.36684725694,16.8461,,,,,Cetus,Cet,
HR3010,2    Pup,116.3712,-14.6908,6.07,0.11,,116.37139699746001,-13.30946527522,11.7184,,,,,Puppis,Pup,
HR3011,,116.1425,-37.9431,5.88,-0.11,,116.14242928401,-36.05708041836,5.4131,,,,,,,
HR3012,,115.7221,-58.23,6.21,1.05,,115.7222071362,-57.76993383233,5.0191,,,,,,,
HR3013,80Pi  Gem,116.8763,33.4156,5.14,1.6,0.012,116.87634926848999,33.41569686352,5.5547,,,,,Gemini,Gem,
HR3014,,116.5092,-6.7725,5.49,1.38,,116.50912712133,-5.22748577966,12.6464,,,,,,,
HR3015,4    Pup,116.4871,-14.5639,5.04,0.33,0.031,116.48695651906,-13.43619480436,14.7603,,,,,Puppis,Pup,
HR3016,,116.2692,-37.8878,6.54,-0.1,,116.26988345296999,-36.11212649095,2.7564,,,,,,,
HR3017,,116.3138,-37.9686,3.61,1.73,0.006,116.31373506708333,-36.031416720277775,2.88,,,,,,,
HR3018,,116.3958,-34.1731,5.37,0.6,0.064,116.39550522585,-33.827448437132226,65.4544,,,,,,,
HR3019,,116.6871,-12.6753,6.39,-0.02,,116.68630453172,-11.32468485168,3.8945,,,,,,,
HR302,,16.195,51.01,6.54,-0.08,,16.19499660834,51.00978110733,3.0192,,,,,,,
HR3020,,116.3254,-43.7522,6.03,-0.07,,116.32517825766,-42.24743405551,3.6421,,,,,,,
HR3021,82    Gem,117.14,23.1411,6.18,,,117.1401626825,23.14097898888889,4.14,,,,,Gemini,Gem,
HR3022,,116.5433,-37.9339,5.88,-0.11,,116.54393424337,-36.066322345580005,5.0296,,,,,,,
HR3023,,116.8021,-22.5197,5.9,-0.19,,116.80230951741,-21.48049027743,2.7141,,,,,,,
HR3024,Zet Vol,115.455,-72.6061,3.95,1.04,0.017,115.45524596810625,-71.39390088550111,22.4377,,,,,Volans,Vol,
HR3025,,116.6392,-40.0597,6.57,-0.13,,116.63931194232,-39.94048983538,1.7418,,,,,,,
HR3026,,116.9104,-15.9908,6.34,1.78,,116.91052598539,-14.009310775640001,0.3197,,,,,,,
HR3027,,116.9383,-16.0144,6.43,1.7,,116.93836378524999,-15.98551704107,1.4215,,,,,,,
HR3028,,117.7738,54.1292,6.02,0.46,,117.7737964894,54.12924122985,33.3296,,,,,,,
HR3029,5    Pup,116.9863,-12.1931,5.48,0.48,0.013,116.98632870217,-11.80729189208,34.7221,,,,,Puppis,Pup,
HR303,,16.115,29.6586,6.19,0.43,,16.11510199948,29.658786651,23.0928,,,,,,,
HR3030,,117.2583,13.3708,6.04,1.38,,117.25765270018,13.37186953078,4.3387,,,,,,,
HR3031,,116.3983,-56.7225,6.12,0.39,,116.39798683446,-55.27743138498,2.5889,,,,,,,
HR3032,,116.7742,-39.3314,6.31,-0.17,,116.77398561657999,-38.669003969349994,5.4198,,,,,,,
HR3033,,117.2454,4.3328,6.53,0.78,,117.24575358631,4.33369750194,5.9338,,,,,,,
HR3034,Omi Pup,117.0217,-25.9372,4.5,-0.05,,117.02153497375,-24.062829923333332,2.3,,,,,Puppis,Pup,
HR3035,,116.8542,-38.5111,5.08,-0.1,-0.004,116.85413566343,-37.48885820484,2.7053,,,,,,,
HR3036,,116.1829,-66.0719,6.38,0.95,,116.1827231166,-65.92806843964,5.1439,,,,,,,
HR3037,,116.8812,-46.6086,5.23,-0.14,,116.88127311314999,-45.39151007613,2.1793,,,,,,,
HR3038,,116.0542,-69.8214,6.18,-0.06,,116.05422120225,-68.17838478172,7.5045,,,,,,,
HR3039,,118.1525,55.2094,6.38,,,118.15177826277001,55.209437999310005,7.2567,,,,,,,
HR304,,15.6788,-65.4561,6.21,1.64,,15.678778971980002,-64.543898446,3.3935,,,,,,,
HR3040,,117.7596,33.2336,6.03,0.15,,117.75982198,33.23365309989,13.8146,,,,,,,
HR3041,,117.0354,-40.6522,6.14,1.58,,117.03561497766,-39.34762076196,4.9467,,,,,,,
HR3042,,117.3692,-13.3533,6.23,-0.09,,117.37002928604001,-12.647050291520001,2.7717,,,,,,,
HR3043,,117.2571,-24.9122,5.33,0.76,0.036,117.25697385571,-23.08775285615,16.189,,,,,,,
HR3044,6    Pup,117.4217,-17.2283,5.18,1.28,,117.4216726086,-16.771591534440002,12.6942,,,,,Puppis,Pup,
HR3045,7Xi  Pup,117.3238,-24.8597,3.34,1.24,0.003,117.32356527416665,-23.14021375861111,2.72,Azmidi,,,,Puppis,Pup,
HR3046,,117.0846,-47.0778,4.71,1.06,0.006,117.08399885493667,-46.92227576540805,14.7735,,,,,,,
HR3047,,117.5442,-9.1833,5.61,1.44,,117.54406852993,-8.81655806448,1.6992,,,,,,,
HR3048,,117.4383,-20.2069,6.56,0.58,,117.438601571,-19.79236728124,19.9317,,,,,,,
HR3049,,117.3112,-35.2433,5.93,-0.05,,117.3110394974,-34.75671374701,6.7005,,,,,,,
HR305,,16.1517,39.9911,6.72,0.31,,16.151871164030002,39.991109820140004,11.7191,,,,,,,
HR3050,,117.6975,3.2772,6.18,1.12,0.003,117.69748016833333,3.277252157222222,6.66,,,,,,,
HR3051,,117.5238,-19.5236,6.12,1.26,,117.52361861213001,-18.47645294938,2.3469,,,,,,,
HR3052,,117.3975,-33.2889,5.6,1.61,,117.3975064565,-32.711049615920004,4.6797,,,,,,,
HR3053,,117.9863,19.3253,5.99,1.13,,117.98655194623998,19.32508495274,7.7268,,,,,,,
HR3054,,117.73,-11.1286,6.16,1.13,,117.73017017383,-10.87140835442,7.4981,,,,,,,
HR3055,,117.3096,-46.3733,4.11,-0.18,,117.30957333150833,-45.626800350075555,3.5065,,,,,,,
HR3056,,117.08,-56.4711,6.33,1.01,,117.08124366666667,-55.52892416666666,0.61,,,,,,,
HR3057,,117.3675,-44.7519,6.32,0.96,,117.36783425284999,-43.2488434869,9.3317,,,,,,,
HR3058,,117.3037,-46.8578,5.84,-0.14,,117.30359381346,-45.14228124591,2.5838,,,,,,,
HR3059,13Zet CMi,117.925,1.7669,5.14,-0.12,0.012,117.92495302825,1.7668684614099999,4.0023,,,,,Canis Minor,CMi,
HR306,,19.0562,87.1453,6.25,1.12,0.011,19.0550380085,87.14549671649,8.7307,,,,,,,
HR3060,,117.75,-24.5283,6.45,-0.01,,117.75033161439583,-23.471444840779444,6.2404,,,,,,,
HR3061,,118.03,3.2772,6.31,1.59,,118.02995740158,3.2773435915299998,5.7446,,,,,,,
HR3062,,117.2779,-56.4106,5.59,1.13,,117.27800619695,-55.589636235840004,2.4426,,,,,,,
HR3063,8    Pup,117.9204,-12.8194,6.36,0.39,,117.92034574953,-11.18059716144,13.7843,,,,,Puppis,Pup,
HR3064,9    Pup,117.9429,-13.8981,5.17,0.6,0.062,117.94292895833333,-12.101967527777779,60.59,,,,,Puppis,Pup,
HR3065,25    Lyn,118.6221,47.3861,6.25,1.15,,118.62193120578,47.38597737397,5.2086,,,,,Lynx,Lyn,
HR3066,26    Lyn,118.6779,47.5647,5.45,1.46,,118.67790932875,47.56459331475,4.5522,,,,,Lynx,Lyn,
HR3067,83Phi Gem,118.3742,26.7658,4.97,0.09,,118.37420066092,26.76578140639,18.038,,,,,Gemini,Gem,
HR3068,,117.9287,-21.1739,5.63,0.96,,117.92927037883999,-20.82633990417,11.2249,,,,,,,
HR3069,,117.6767,-44.5797,6.45,0.9,,117.6771231388,-43.420054275649996,5.3657,,,,,,,
HR307,73    Psc,16.2192,5.6564,6.0,1.51,,16.21932463518,5.6562647341600005,4.8225,,,,,Pisces,Psc,
HR3070,,117.3037,-60.2836,5.78,0.42,,117.30391810369,-59.71628640442,29.6294,,,,,,,
HR3071,,117.5996,-50.5097,5.91,1.09,,117.59926190651,-49.49053295698,13.6692,,,,,,,
HR3072,,118.1996,-5.4281,5.76,0.41,,118.19940212642793,-4.571863951040555,23.7787,,,,,,,
HR3073,10    Pup,118.0788,-14.8464,5.69,0.37,,118.07866213612002,-13.15382207167,1.4691,,,,,Puppis,Pup,
HR3074,,117.8354,-43.0956,6.32,-0.17,,117.83474562168999,-42.904766371689995,1.9847,,,,,,,
HR3075,,120.0488,73.9181,5.41,1.42,0.022,120.04891028552998,73.91791768463,4.7407,,,,,,,
HR3076,,117.4783,-60.0511,6.72,1.24,,117.47818836696999,-59.94855901953,2.3496,,,,,,,
HR3077,,119.1117,56.5044,6.72,,,119.111304339,56.50444842988,4.3701,,,,,,,
HR3078,,117.9179,-42.8883,6.04,-0.18,,117.9181584018,-41.11179616053,1.7592,,,,,,,
HR3079,,118.0654,-34.7053,5.01,0.44,0.074,118.06525829166668,-33.29455925,55.73,,,,,,,
HR308,72    Psc,16.2725,14.9461,5.68,0.41,,16.272316397170002,14.94613496134,18.9413,,,,,Pisces,Psc,
HR3080,,118.0542,-40.5758,3.73,1.04,0.031,118.05429938018001,-39.42421826786,8.9838,,,,,,,
HR3081,,117.4208,-66.1958,5.79,-0.04,,117.42079624549999,-65.80402652936999,7.1191,,,,,,,
HR3082,,121.1963,79.4797,5.42,-0.06,0.021,121.19607864570001,79.47961384277001,9.57,,,,,,,
